logg,Teff,Z,u,Filt,Met,Mod
4,8750,-4.5,0.3895,R,F,A
4.5,8750,-4.5,0.3948,R,F,A
5,8750,-4.5,0.3994,R,F,A
1.5,9000,-4.5,0.3951,R,F,A
2,9000,-4.5,0.3785,R,F,A
2.5,9000,-4.5,0.3715,R,F,A
3,9000,-4.5,0.3698,R,F,A
3.5,9000,-4.5,0.3714,R,F,A
4,9000,-4.5,0.3753,R,F,A
4.5,9000,-4.5,0.3804,R,F,A
5,9000,-4.5,0.3856,R,F,A
2,9250,-4.5,0.3726,R,F,A
2.5,9250,-4.5,0.3632,R,F,A
3,9250,-4.5,0.3599,R,F,A
3.5,9250,-4.5,0.3603,R,F,A
4,9250,-4.5,0.3627,R,F,A
4.5,9250,-4.5,0.3668,R,F,A
5,9250,-4.5,0.3716,R,F,A
2,9500,-4.5,0.3677,R,F,A
2.5,9500,-4.5,0.3566,R,F,A
3,9500,-4.5,0.3518,R,F,A
3.5,9500,-4.5,0.3509,R,F,A
4,9500,-4.5,0.3521,R,F,A
4.5,9500,-4.5,0.3552,R,F,A
5,9500,-4.5,0.3592,R,F,A
2,9750,-4.5,0.3635,R,F,A
2.5,9750,-4.5,0.3509,R,F,A
3,9750,-4.5,0.3449,R,F,A
3.5,9750,-4.5,0.3429,R,F,A
4,9750,-4.5,0.3433,R,F,A
4.5,9750,-4.5,0.3451,R,F,A
5,9750,-4.5,0.3483,R,F,A
2,10000,-4.5,0.3599,R,F,A
2.5,10000,-4.5,0.346,R,F,A
3,10000,-4.5,0.339,R,F,A
3.5,10000,-4.5,0.3363,R,F,A
4,10000,-4.5,0.3359,R,F,A
4.5,10000,-4.5,0.3368,R,F,A
5,10000,-4.5,0.339,R,F,A
2,10500,-4.5,0.3538,R,F,A
2.5,10500,-4.5,0.3376,R,F,A
3,10500,-4.5,0.3291,R,F,A
3.5,10500,-4.5,0.3252,R,F,A
4,10500,-4.5,0.3237,R,F,A
4.5,10500,-4.5,0.3234,R,F,A
5,10500,-4.5,0.324,R,F,A
2.5,11000,-4.5,0.3304,R,F,A
3,11000,-4.5,0.3208,R,F,A
3.5,11000,-4.5,0.316,R,F,A
4,11000,-4.5,0.3138,R,F,A
4.5,11000,-4.5,0.3129,R,F,A
5,11000,-4.5,0.3127,R,F,A
2.5,11500,-4.5,0.3245,R,F,A
3,11500,-4.5,0.3136,R,F,A
3.5,11500,-4.5,0.308,R,F,A
4,11500,-4.5,0.3053,R,F,A
4.5,11500,-4.5,0.304,R,F,A
5,11500,-4.5,0.3035,R,F,A
2.5,12000,-4.5,0.3194,R,F,A
3,12000,-4.5,0.3073,R,F,A
3.5,12000,-4.5,0.301,R,F,A
4,12000,-4.5,0.2978,R,F,A
4.5,12000,-4.5,0.2962,R,F,A
5,12000,-4.5,0.2954,R,F,A
2.5,12500,-4.5,0.315,R,F,A
3,12500,-4.5,0.3017,R,F,A
3.5,12500,-4.5,0.2947,R,F,A
4,12500,-4.5,0.2911,R,F,A
4.5,12500,-4.5,0.2892,R,F,A
5,12500,-4.5,0.2883,R,F,A
2.5,13000,-4.5,0.3116,R,F,A
3,13000,-4.5,0.2968,R,F,A
3.5,13000,-4.5,0.289,R,F,A
4,13000,-4.5,0.2848,R,F,A
